"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"1118224","Movie","Maharaja","Nithilan Saminathan","Vijay Sethupathi, Anurag Kashyap, Sachana Namidass, Natarajan Subramaniam, Abhirami","India","2024-06-14","2024","7.9","","Action, Thriller","ta","A barber seeks vengeance after his home is burglarized, cryptically telling police his ""Lakshmi"" has been taken, leaving them uncertain if it's a person or object, jeer at his request until they learn what they're really looking for.","31.634","128","7.9","0","10758542"
"784651","Movie","Fighter","Siddharth Anand","Hrithik Roshan, Deepika Padukone, Anil Kapoor, Karan Singh Grover, Sanjeeda Sheikh","India","2024-01-24","2024","6.1","","Action, Drama","hi","As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons.","27.655","132","6.1","30069500","43160558"
"1083241","Movie","Baby John","Kalees","Varun Dhawan, Keerthy Suresh, Wamiqa Gabbi, Rajpal Yadav, Sheeba Chaddha","India","2024-12-25","2024","4.9","","Action, Drama, Thriller, Crime","hi","John's peaceful life with daughter Khushi is disrupted by a sex-trafficking gang. Revealing his past as DCP Satya, he seeks revenge for his family's murder, saving minor girls and punishing the criminals, before starting anew.","27.534","10","4.9","9979722","0"
"622792","Movie","Kanguva","Siva","Suriya, Bobby Deol, Disha Patani, B. S. Avinash, Kovai Sarala","India","2024-11-14","2024","4.2","","Action, Thriller, Fantasy","ta","A bounty hunter in present day, learns about his previous life as a legendary warrior, when fate unites him with a mutant kid.","22.701","14","4.2","0","13885456"
"472221","Movie","The Goat Life","Blessy","Prithviraj Sukumaran, K R  Gokul, Jimmy Jean-Louis, Talib Al Balushi, Rik Aby","India","2024-03-28","2024","7.3","","Drama, Adventure","ml","Indian migrant worker Najeeb Muhammad goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herding goats in the middle of the desert.","22.487","35","7.3","9800000","19000000"
"1112426","Movie","Stree 2","Amar Kaushik","Rajkummar Rao, Shraddha Kapoor, Aparshakti Khurana, Abhishek Banerjee, Pankaj Tripathi","India","2024-08-15","2024","6.5","","Horror, Comedy","hi","After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.","21.834","53","6.5","12000000","102184000"
"1184889","Movie","Jigra","Vasan Bala","Alia Bhatt, Vedang Raina, Manoj Pahwa, Vivek Gomber, Akashdeep Sabir","India","2024-10-10","2024","6.3","","Crime, Drama, Thriller","hi","When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free.","21.712","45","6.3","0","0"
"1148172","Movie","Do Patti","Shashanka Chaturvedi","Kajol, Kriti Sanon, Shaheer Sheikh, Tanvi Azmi, Brijendra Kala","India","2024-10-24","2024","7.0","","Thriller, Mystery, Drama, Crime","hi","A puzzling investigation leads a no-nonsense cop down a dark path involving the vicious rivalry between twin sisters and the volatile man they both love.","21.531","39","7.0","0","0"
"1045931","Movie","Crew","Rajesh Krishnan","Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Rajesh Sharma","India","2024-03-29","2024","6.8","","Comedy, Drama","hi","Three ordinary air hostesses from Mumbai embark on a journey to pursue their dreams but find themselves caught up in unexpected misfortunes.","19.221","52","6.8","0","0"
"1239511","Movie","Lucky Baskhar","Venky Atluri","Dulquer Salmaan, Meenakshi Chaudhary, Rajkumar Kasireddy, Ramki, Maganti Srinath","India","2024-10-30","2024","7.439","","Drama, Thriller, Crime","te","A cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.","19.206","41","7.439","0","0"
